Player Name,Teammate(s) Name,"Maps played
 (No. of maps
 played in)","Rounds played
 (No. of rounds
 played in)","K-D Diff
 (No. of Kills completed
 - No. of times player died)","K/D Ratio
 (No. of Kills completed /
 No. of times player died)","Rating
 (1.0)"
KrizzeN,"['AVANGAR', 'Winstrike']",763,20020,-368,0.97,0.95
H4RR3,"['Nordavind', '777']",689,18503,-812,0.94,0.95
dERZKIY,"['K29', 'ANOX']",419,10917,-406,0.95,0.95
devoduvek,"['LDLC', 'Misfits', 'Heretics']",668,17752,-636,0.95,0.95
maNkz,"['ECSTATIC', 'Lyngby Vikings', 'Copenhagen Flames']",831,22388,-780,0.95,0.95
steel,"['Movistar Riders', 'Luminosity', 'Immortals']",1483,38801,-984,0.96,0.95
AcilioN,"['Copenhagen Flames', 'SK', 'Apeks']",1800,47479,-1535,0.95,0.95
caike,"['g3x', 'Yeah', 'Isurus', 'TeamOne']",534,14037,-456,0.95,0.95
flashie,"['GameAgents', 'Orgless']",594,15719,-518,0.95,0.95
beastik,['SINNERS'],876,23528,-870,0.95,0.95
darko,['PACT'],826,22409,-868,0.94,0.95
strux1,"['PENTA', '3DMAX', 'Planetkey']",403,10276,-246,0.96,0.95
ecfN,['ALTERNATE aTTaX'],426,11214,-471,0.94,0.95
RAiLWAY,"['INDE IRAE', 'Espada']",522,14073,-767,0.93,0.95
Inzta,"['Tricked', 'Singularity']",754,19798,-849,0.94,0.94
TaZ,"['HONORIS', 'Virtus.pro', 'Kinguin']",2314,60964,-2030,0.95,0.94
uNdo,"['Unique', 'Quantum Bellator Fire', 'Space Jam']",432,11267,-371,0.95,0.94
Karsa,"['Flash', 'OneThree', 'EHOME']",461,11782,-319,0.96,0.94
kzy,"['EURONICS', 'ALTERNATE aTTaX', 'Unicorns of Love']",991,25840,-835,0.95,0.94
Fifflaren,['Ninjas in Pyjamas'],538,13220,-40,0.99,0.94
TOAO,"['AGO', 'Izako Boars']",1228,32825,-1164,0.95,0.94
SileNt,"['Swole Patrol', 'Method', 'NRG']",624,16235,-788,0.93,0.94
boX,"['Nemiga', 'GoodJob']",1353,36128,-1423,0.94,0.94
Twixie,"['KOVA', 'HAVU']",767,20821,-780,0.94,0.94
BRACE,['VERTEX'],460,11892,-500,0.94,0.94
Shakezullah,"['Triumph', 'Bad News Bears', 'Singularity', 'iNTACT']",859,22364,-450,0.97,0.94
Rock1nG,"['SKADE', 'Outlaws', 'Bpro']",923,24313,-1142,0.93,0.94
tonyblack,['Spirit'],826,21699,-725,0.95,0.94
kade0,"['K23', 'AVANGAR', 'Syman']",395,10709,-425,0.94,0.94
JT,"['Complexity', 'Extra Salt', 'Bravado', 'ATK', 'Cloud9']",1153,29945,-1256,0.94,0.94
Duplicate,"['SKADE', 'FATE']",896,23908,-992,0.94,0.94
arch,"['Preparation', 'Spirit', 'Worst Players']",593,15530,-658,0.94,0.94
interz,"['Gambit Youngsters', 'Gambit']",908,24175,-159,0.99,0.94
RIZZZ,"['OFFSET', 'Giants']",434,11367,-566,0.93,0.94
LOMME,"['North Academy', 'Tricked', 'No Problem!']",623,16172,-532,0.95,0.94
Ex6TenZ,"['Titan', 'LDLC', 'VeryGames', 'G2']",1393,36352,-1064,0.96,0.94
ub1que,"['EPG', 'PiTER', 'Preparation']",491,12691,-496,0.94,0.94
Sidney,"['UNGENTIUM', 'AGO', 'PACT', 'Illuminar']",603,16222,-575,0.95,0.94
arvid,['SJ'],963,25840,-1274,0.93,0.94
Noisia,"['AVANT', 'Breakaway', 'Dark Sided']",579,15033,-616,0.94,0.94
ngiN,"['Space Soldiers', 'Sangal']",1025,26895,-748,0.96,0.94
forget,"['5POWER', 'UYA']",442,11512,-734,0.91,0.94
ztr,"['Young Ninjas', 'Ninjas in Pyjamas']",526,14143,-660,0.93,0.94
Patrick,"['500', 'FATE']",469,12689,-699,0.92,0.94
repo,"['PRIDE', 'ESC', 'AGG', 'Vexed']",505,13254,-657,0.93,0.94
EXUS,"['PRIDE', 'Izako Boars']",942,25185,-1249,0.93,0.94
tutehen,"['VELOX', 'Isurus', 'Gale Force', 'Miami Flamingos']",450,11640,-422,0.95,0.93
dan1,['BLUEJAYS'],441,11842,-540,0.93,0.93
kiR,['Tricked'],690,18584,-1064,0.92,0.93
Polly,"['LGB', 'London Conspiracy', 'Apeks']",461,11987,-611,0.93,0.93
hutji,['Vega Squadron'],453,12010,-664,0.92,0.93
crisby,"['ALTERNATE aTTaX', 'EURONICS', 'Unicorns of Love']",1210,31547,-1814,0.92,0.93
neaLaN,"['K23', 'Syman']",1129,30154,-1479,0.93,0.93
emi,"['Valiance', 'Binary Dragons', 'iNation']",1163,30468,-1497,0.93,0.93
SkulL,"['Antic', 'Genuine', 'Taboo', 'Masterminds', 'Chiefs']",633,16535,-1131,0.91,0.93
matty,"['EC Brugge', 'Izako Boars']",617,16381,-836,0.93,0.93
mynio,"['9INE', 'Wisla Krakow', 'Anonymo']",901,24195,-1492,0.91,0.93
stYleEeZ,['BLUEJAYS'],401,10728,-429,0.94,0.93
quix,"['Lilmix', 'Vexed', 'Publiclir.se']",977,25847,-1957,0.9,0.93
hitMouse,"['Nemiga', 'K29']",538,14028,-625,0.93,0.92
aVN,"['4glory', 'lvlUP']",618,16535,-812,0.93,0.92
Xp3,"['Winterfox', 'Denial', 'ELEVATE']",502,13113,-792,0.91,0.92
S0tF1k,"['Spirit', 'Espada']",1320,34796,-1994,0.92,0.92
pNshr,"['Windigo', 'ex-Outlaws']",600,15671,-812,0.92,0.92
TACO,"['SK', 'MIBR', 'GODSENT', 'Liquid', 'Luminosity']",1468,38207,-1584,0.94,0.92
arki,['SAW'],889,23396,-1274,0.92,0.92
SANJI,"['Virtus.pro', 'AVANGAR', 'Syman']",743,19879,-998,0.92,0.92
sorrow,"['100PG', 'Unique', 'AVANGAR']",456,12239,-825,0.9,0.92
Zeus,['Natus Vincere'],1405,37152,-1990,0.92,0.92
MSL,"['Dignitas', 'North']",1747,45678,-3390,0.9,0.92
Luz,"['PRIDE', 'Izako Boars']",660,17302,-994,0.92,0.92
dobbo,"['Into the Breach', 'GamerLegion']",445,12084,-575,0.93,0.92
arya,"['Splyce', '3sUP']",440,11291,-868,0.89,0.92
akez,"['777', 'Apeks']",550,14806,-1043,0.9,0.92
nak,"['Sharks', 'RED Canids']",519,13439,-700,0.92,0.92
SENER1,"['Bad News Eagles', 'BLINK']",473,12609,-706,0.92,0.92
svyat,"['Hard Legion', 'DreamEaters', 'AVE']",734,19717,-1060,0.92,0.91
Dav,"['Squared', 'ONYX', 'iNation']",468,12095,-822,0.9,0.91
xartE,"['SJ', 'HAVU', 'ENCE', 'hREDS']",1155,30358,-1660,0.92,0.91
BTN,['Nexus'],1177,31004,-2314,0.9,0.91
ncl,"['Mazaalai', 'TheMongolz', 'TIGER']",546,14042,-764,0.92,0.91
LEGIJA,"['BIG', 'MOUZ', 'NRG']",869,22614,-1671,0.9,0.91
roman,"['Nemiga', 'K29']",414,10880,-664,0.91,0.91
karrigan,"['FaZe', 'MOUZ', 'TSM']",2103,55200,-3895,0.9,0.91
wayLander,"['FlipSid3', 'pro100', 'Winstrike']",794,20857,-1715,0.89,0.91
BONA,"['SJ', 'VITALIS', 'hREDS']",476,12674,-943,0.89,0.91
sAw,"['HAVU', 'iGame.com', 'RCTIC']",1267,33681,-2108,0.91,0.9
coolio,"['Budapest Five', 'Salamander', 'ONYX']",396,10638,-649,0.91,0.9
kRYSTAL,"['PENTA', 'ALTERNATE aTTaX', 'GODSENT']",1888,49380,-3495,0.9,0.9
ben1337,"['Party Astronauts', 'New England Whalers']",988,25718,-1830,0.9,0.9
crush,"['pro100', 'Vega Squadron', 'HellRaisers']",732,19295,-1476,0.89,0.9
balblna,"['Quantum Bellator Fire', 'Winstrike']",612,16045,-1236,0.89,0.9
sycrone,"['Sprout', 'North Academy', 'Tricked', 'Team123']",553,14608,-978,0.9,0.9
nkl,"['E-frag.net', 'GPlay', 'MK', 'Orbit']",642,16554,-1046,0.91,0.9
Golden,"['fnatic', 'fnatic Academy', 'Cloud9']",873,23240,-2016,0.88,0.9
hooch,"['EPG', 'Gambit']",897,23538,-1828,0.89,0.9
MiGHTYMAX,['Endpoint'],1289,34220,-2409,0.89,0.9
FNS,"['CLG', 'TSM']",953,25080,-1794,0.89,0.89
spiker,"['Monolith', 'PiTER', 'Empire', 'Rebels']",415,10974,-974,0.88,0.89
Psycho,"['Project X', 'CR4ZY', 'Akuma', 'Windigo Academy', 'Run or Die']",514,13708,-1066,0.89,0.89
JiNKZ,"['3DMAX', 'Heretics']",542,14411,-1193,0.88,0.89
MAiNLiNE,"['Enemy', 'Selfless', 'eUnited', 'Method']",437,11092,-1064,0.87,0.89
pronax,"['fnatic', 'GODSENT']",1199,31403,-2267,0.89,0.89
lunAtic,['PACT'],995,27029,-2082,0.89,0.89
Polen,['Mythic'],435,11470,-978,0.88,0.89
Adam9130,"['Into the Breach', 'GamerLegion', 'Vexed']",618,16821,-1633,0.87,0.89
IceBerg,"['Tricked', 'Singularity', 'Ambush']",590,15816,-1844,0.84,0.88
Lambert,"['LDLC', 'EnVyUs Academy']",775,20411,-1581,0.88,0.88
LeX,"['Mythic', 'Winterfox', 'Luminosity']",463,11937,-1263,0.85,0.88
torben,['Fragsters'],532,13939,-1196,0.87,0.88
seang@res,"['Cloud9', 'Misfits', 'Echo Fox']",713,18391,-1629,0.87,0.88
ScrunK,"['Sangal', 'ALTERNATE aTTaX', 'expert']",1061,28342,-3033,0.85,0.88
daps,"['NRG', 'OpTic', 'Gen.G']",1075,28101,-2364,0.87,0.88
flowsicK,"['Denial', 'Winterfox', 'Liquid']",395,10074,-1047,0.86,0.87
birdfromsky,"['Copenhagen Flames', 'Lyngby Vikings', 'ECSTATIC']",927,25162,-2476,0.86,0.87
BERRY,"['Ambush', 'OPAA']",808,21174,-2410,0.84,0.87
nawrot,"['AVEZ', 'Izako Boars']",606,16271,-1769,0.85,0.87
advent,"['ViCi', 'VG.CyberZen']",1145,29451,-2351,0.87,0.87
def,"['pro100', 'ACG']",605,15797,-1593,0.85,0.86
HooXi,['Copenhagen Flames'],860,22843,-2463,0.84,0.86
djL,"['Chaos', 'Japaleno', 'Red Reserve']",688,18180,-1735,0.86,0.86
Devilwalk,"['fnatic', 'Epsilon']",408,10717,-1146,0.84,0.86
gob b,"['BIG', 'MOUZ', 'NRG']",978,25799,-2828,0.84,0.85
Slemmy,"['Complexity', 'Cloud9', 'Selfless']",445,11663,-1313,0.83,0.85
simix,['EC Brugge'],394,10543,-1355,0.81,0.83
PASHANOJ,"['Unique', 'ex-ETHEREAL']",620,16227,-2371,0.8,0.83
B1ad3,['FlipSid3'],899,23232,-3408,0.8,0.83
netrick,"['AGF', 'unknown', 'LPSP', 'Forcebuy']",455,11976,-1736,0.8,0.82
HUNDEN,"['Tricked', 'ALTERNATE aTTaX']",1578,41153,-6238,0.78,0.81
RuFire,"['SG.pro', '5balls', 'VP.Prodigy']",398,10563,-1980,0.75,0.78
OCEAN,"['subtLe', 'SKDC', 'Splyce']",410,10602,-1962,0.74,0.77
